Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772363951,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772363952,2,,Aggregated,0.000000,0.000000,4,4,4,4,4,4,4,4,4,4,4,2,0,2,2.879645999200875,1.553750000311993,4.205541998089757,60.0
1772363953,4,,Aggregated,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,4,0,4,155.03361449918884,1.553750000311993,308.2624999951804,70.25
1772363954,6,,Aggregated,0.000000,0.000000,7,7,310,310,310,310,310,310,310,310,310,6,0,7,105.70789583289297,1.553750000311993,308.2624999951804,66.83333333333333
1772363955,8,,Aggregated,2.000000,0.000000,310,310,330,330,510,600,600,600,600,600,600,12,0,7,200.48972924996633,1.553750000311993,598.5364170046523,64.25
1772363956,10,,Aggregated,2.000000,0.000000,310,310,330,330,510,600,600,600,600,600,600,12,0,7,200.48972924996633,1.553750000311993,598.5364170046523,64.25
1772363957,10,,Aggregated,2.750000,0.000000,310,510,600,800,1100,1700,1700,1700,1700,1700,1700,17,0,310.0,416.45043641191853,1.553750000311993,1708.2969999974011,70.17647058823529
1772363958,10,,Aggregated,2.400000,0.000000,310,330,600,800,1100,1700,1700,1700,1700,1700,1700,20,0,7,354.3830105500092,1.553750000311993,1708.2969999974011,67.75
1772363959,10,,Aggregated,2.166667,0.000000,7,310,510,600,1100,1100,1700,1700,1700,1700,1700,24,0,4,295.8075904164919,1.553750000311993,1708.2969999974011,66.45833333333333
1772363960,10,,Aggregated,2.166667,0.000000,4,310,330,600,1100,1100,1700,1700,1700,1700,1700,25,0,4,284.0943317997153,1.553750000311993,1708.2969999974011,65.76
1772363961,10,,Aggregated,2.714286,0.000000,4,310,330,510,1100,1100,1700,1700,1700,1700,1700,26,0,3,273.2242869995109,1.4731669944012538,1708.2969999974011,65.53846153846153
