Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,56,1,1000.0,1210.2573921074509,1.6770419970271178,4474.501167002018,58.92857142857143,1.1586320135654065,0.020689857385096544,1000,1400,2100,2200,3000,3600,3800,4500,4500,4500,4500
GET,/health,7,1,1000.0,974.8857500006644,2.1119590019225143,1939.9267089975183,43.0,0.1448290016956758,0.020689857385096544,1000,1700,1800,1800,1900,1900,1900,1900,1900,1900,1900
GET,/slow,34,0,1500.0,1666.841241382559,592.0015420051641,3929.029792001529,80.0,0.7034551510932825,0.0,1500,1700,2100,2600,2900,3500,3900,3900,3900,3900,3900
POST,/users (POST),16,0,940.0,1462.688533938035,307.9997090026154,4341.846167000767,111.0,0.3310377181615447,0.0,1200,1800,2300,2300,2800,4300,4300,4300,4300,4300,4300
,Aggregated,113,2,1200.0,1368.7985217525438,1.6770419970271178,4474.501167002018,71.65486725663717,2.3379538845159096,0.04137971477019309,1200,1700,2000,2200,2900,3500,3900,4300,4500,4500,4500
