Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,17,0,9,452.60631370568746,3.184291999787092,2459.823666002194,60.0,1.2266129325121573,0.0,9,200,550,960,1800,2500,2500,2500,2500,2500,2500
GET,/health,6,0,530.0,852.5098683312535,4.204166994895786,2459.2665000018314,50.166666666666664,0.4329222114748791,0.0,950,950,1200,1200,2500,2500,2500,2500,2500,2500,2500
GET,/slow,8,0,1000.0,1216.6172292490955,515.0447089981753,3151.197332997981,80.0,0.5772296152998387,0.0,1100,1100,1800,1800,3200,3200,3200,3200,3200,3200,3200
POST,/users (POST),7,0,1300.0,1020.2848987132062,309.9792919965694,2143.8547910001944,111.0,0.5050759133873589,0.0,1300,1400,1400,1400,2100,2100,2100,2100,2100,2100,2100
,Aggregated,38,0,530.0,781.1657544202477,3.184291999787092,3151.197332997981,72.05263157894737,2.741840672674234,0.0,530,1100,1300,1400,2100,2500,3200,3200,3200,3200,3200
