Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items,2833,0,100.0,104.3948511184979,51.933624999946915,172.13224999431986,758.0,23.670258873214184,0.0,100,120,130,130,140,150,150,150,160,170,170
POST,/items,574,0,200.0,203.42916396868583,104.22366599959787,310.90499999845633,60.42160278745644,4.795880195278835,0.0,200,230,250,260,280,290,300,300,310,310,310
GET,/items/1,41,0,57,56.993371926470964,28.909499997098465,87.69362500606803,35.0,0.3425628710913454,0.0,57,69,73,77,81,83,88,88,88,88,88
GET,/items/10,27,0,51,52.20317277740428,24.389915997744538,83.23433300392935,38.0,0.2255901834016177,0.0,51,60,69,70,73,81,83,83,83,83,83
GET,/items/11,36,0,59,58.418802139082494,22.85699999629287,84.17395899596158,37.0,0.30078691120215695,0.0,60,63,70,70,77,83,84,84,84,84,84
GET,/items/12,40,0,50,54.25520422486443,25.20074999483768,86.0750409992761,38.0,0.3342076791135077,0.0,52,66,67,71,80,82,86,86,86,86,86
GET,/items/13,37,0,49,54.786323243673465,24.249499998404644,142.0018330027233,38.0,0.30914210317999463,0.0,49,61,67,74,79,83,140,140,140,140,140
GET,/items/14,31,0,52,53.5985080320144,27.92362499894807,97.18008300114889,38.0,0.2590109513129685,0.0,52,58,62,62,75,78,97,97,97,97,97
GET,/items/15,32,0,54,54.859506437878736,24.478333005390596,86.95366699976148,38.0,0.26736614329080616,0.0,57,69,76,76,81,84,87,87,87,87,87
GET,/items/16,39,0,61,58.17092841010517,22.408625001844484,84.5469999985653,38.0,0.32585248713567,0.0,61,70,74,76,81,85,85,85,85,85,85
GET,/items/17,25,0,48,51.87330671964446,28.997457993682474,82.62483299768064,38.0,0.20887979944594232,0.0,48,59,66,71,75,77,83,83,83,83,83
GET,/items/18,26,0,50,54.18086223065844,29.8062919973745,79.35829200141598,38.0,0.21723499142378,0.0,52,67,70,71,79,79,79,79,79,79,79
GET,/items/19,32,0,51,53.22227465671858,25.00720800162526,80.00975000322796,38.0,0.26736614329080616,0.0,52,63,68,69,76,80,80,80,80,80,80
GET,/items/2,31,0,55,53.93336416102923,27.66279200295685,86.71254100045189,36.0,0.2590109513129685,0.0,55,62,65,70,74,78,87,87,87,87,87
GET,/items/20,28,0,45,51.66959517867196,26.08124999824213,88.56037499936065,38.0,0.2339453753794554,0.0,45,62,68,74,79,80,89,89,89,89,89
GET,/items/21,36,0,51,50.801830971977324,24.75337500072783,83.38500000536442,37.0,0.30078691120215695,0.0,53,63,68,70,75,82,83,83,83,83,83
GET,/items/22,32,0,55,54.93890884463326,26.193999998213258,79.30879200284835,38.0,0.26736614329080616,0.0,58,64,66,68,77,79,79,79,79,79,79
GET,/items/23,33,0,51,52.659136393975295,26.106417004484683,86.36791600292781,38.0,0.27572133526864384,0.0,51,66,71,74,77,86,86,86,86,86,86
GET,/items/24,31,0,48,52.500118387181445,24.183458997868,82.6828330027638,38.0,0.2590109513129685,0.0,48,61,66,66,76,79,83,83,83,83,83
GET,/items/25,36,0,54,55.157969943845984,27.635874997940846,85.90333299798658,38.0,0.30078691120215695,0.0,54,64,75,75,83,84,86,86,86,86,86
GET,/items/26,34,0,55,54.49637249972404,25.0510000041686,82.75750000029802,38.0,0.2840765272464815,0.0,55,63,68,74,77,81,83,83,83,83,83
GET,/items/27,31,0,53,54.321008128388186,23.917874998005573,81.39775000017835,38.0,0.2590109513129685,0.0,53,69,72,74,77,80,81,81,81,81,81
GET,/items/28,33,0,46,49.7733283636714,24.772500000835862,80.47604199964553,38.0,0.27572133526864384,0.0,46,61,66,71,75,80,80,80,80,80,80
GET,/items/29,31,0,57,54.529779581277964,26.9900840066839,80.55229200545,37.0,0.2590109513129685,0.0,57,65,69,71,75,78,81,81,81,81,81
GET,/items/3,40,0,62,58.18901567454304,28.306833002716303,84.44479200261412,36.0,0.3342076791135077,0.0,63,68,75,76,80,84,84,84,84,84,84
GET,/items/30,40,0,56,54.20915202503238,22.734833000868093,85.28229099465534,38.0,0.3342076791135077,0.0,59,63,70,72,78,82,85,85,85,85,85
GET,/items/31,47,0,51,53.446058489343876,26.83291600260418,85.74458299699472,38.0,0.3926940229583716,0.0,51,60,69,72,77,80,86,86,86,86,86
GET,/items/32,25,0,61,59.06797820003703,35.491749993525445,84.57629199983785,38.0,0.20887979944594232,0.0,61,66,69,78,80,81,85,85,85,85,85
GET,/items/33,31,0,61,58.545802355389064,24.463749999995343,83.03558400075417,38.0,0.2590109513129685,0.0,61,69,72,75,78,80,83,83,83,83,83
GET,/items/34,43,0,53,51.91757269714672,23.322707995248493,81.92287499696249,38.0,0.3592732550470208,0.0,53,62,68,69,76,78,82,82,82,82,82
