Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items,342,0,100.0,104.30126731575938,52.19866699917475,154.7112910047872,759.0,5.773384320644692,0.0,100,120,130,130,140,150,150,150,150,150,150
POST,/items,65,0,190.0,194.8158846765112,111.48054200020852,302.5672500007204,60.276923076923076,1.0972806457365643,0.0,190,220,240,240,260,280,300,300,300,300,300
GET,/items/1,3,0,40,42.16381933171457,28.81074999459088,58.16837499878602,36.0,0.05064372211091835,0.0,40,40,58,58,58,58,58,58,58,58,58
GET,/items/10,4,0,36,38.58163525183045,33.906875003594905,46.29979200399248,38.0,0.0675249628145578,0.0,38,38,46,46,46,46,46,46,46,46,46
GET,/items/11,6,0,52,55.322798498915894,25.047499999345746,75.95266600401374,37.0,0.1012874442218367,0.0,67,67,71,71,76,76,76,76,76,76,76
GET,/items/12,7,0,49,49.02349371280122,34.91304099588888,65.90845799655654,38.0,0.11816868492547615,0.0,49,54,55,55,66,66,66,66,66,66,66
GET,/items/13,5,0,46,42.583816999103874,25.996999997005332,56.76320899510756,38.0,0.08440620351819725,0.0,46,55,55,57,57,57,57,57,57,57,57
GET,/items/14,9,0,53,57.238944332412856,40.32975000154693,81.75266699981876,38.0,0.15193116633275505,0.0,53,58,68,69,82,82,82,82,82,82,82
GET,/items/15,3,0,39,46.50213899973702,28.55437499965774,72.11270900006639,38.0,0.05064372211091835,0.0,39,39,72,72,72,72,72,72,72,72,72
GET,/items/16,5,0,46,49.33197480131639,38.09937500045635,61.34879100136459,38.0,0.08440620351819725,0.0,46,58,58,61,61,61,61,61,61,61,61
GET,/items/17,5,0,57,49.231700199015904,23.938083999382798,69.40487500105519,37.0,0.08440620351819725,0.0,57,66,66,69,69,69,69,69,69,69,69
GET,/items/18,4,0,37,49.30688550120976,28.738875000271946,68.22787500277627,38.0,0.0675249628145578,0.0,64,64,68,68,68,68,68,68,68,68,68
GET,/items/19,7,0,51,54.39579185830163,33.58575000311248,77.33404200553196,38.0,0.11816868492547615,0.0,51,66,71,71,77,77,77,77,77,77,77
GET,/items/2,9,0,60,56.32412033446599,36.486832999798935,81.45970800251234,36.0,0.15193116633275505,0.0,60,62,64,80,81,81,81,81,81,81,81
GET,/items/20,7,0,58,55.65936299951448,34.58670799591346,81.89349999884143,38.0,0.11816868492547615,0.0,58,61,69,69,82,82,82,82,82,82,82
GET,/items/21,5,0,43,44.027249797363766,28.591874994162936,54.46858299546875,38.0,0.08440620351819725,0.0,43,54,54,54,54,54,54,54,54,54,54
GET,/items/22,4,0,37,43.212426999161835,26.720666995970532,65.5146249991958,38.0,0.0675249628145578,0.0,44,44,66,66,66,66,66,66,66,66,66
GET,/items/23,5,0,48,50.83067520026816,37.82004200184019,63.57641700014938,38.0,0.08440620351819725,0.0,48,60,60,64,64,64,64,64,64,64,64
GET,/items/24,3,0,39,50.50023633035986,36.763333999260794,75.71804199687904,37.0,0.05064372211091835,0.0,39,39,76,76,76,76,76,76,76,76,76
GET,/items/25,2,0,31.092457997146994,56.736041497060796,31.092457997146994,82.3796249969746,38.0,0.0337624814072789,0.0,82,82,82,82,82,82,82,82,82,82,82
GET,/items/26,6,0,55,61.53027099935571,48.93387499760138,76.60891699924832,38.0,0.1012874442218367,0.0,60,60,76,76,77,77,77,77,77,77,77
GET,/items/27,4,0,76,70.534750000661,40.646166999067646,83.80895799928112,37.0,0.0675249628145578,0.0,82,82,84,84,84,84,84,84,84,84,84
GET,/items/28,9,0,42,48.474097332574374,23.77512499515433,93.95429200230865,38.0,0.15193116633275505,0.0,42,51,54,75,94,94,94,94,94,94,94
GET,/items/29,2,0,62.48487500124611,68.44714600083535,62.48487500124611,74.40941700042458,38.0,0.0337624814072789,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/items/3,4,0,40,57.461906000753515,24.31520800018916,84.86412499769358,36.0,0.0675249628145578,0.0,80,80,85,85,85,85,85,85,85,85,85
GET,/items/30,2,0,24,36.026124500494916,23.898166000435594,48.15408300055424,38.0,0.0337624814072789,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/items/31,6,0,45,53.63534016578342,25.3742080021766,83.07895899633877,38.0,0.1012874442218367,0.0,54,54,76,76,83,83,83,83,83,83,83
GET,/items/32,4,0,49,51.49764625093667,34.23683399887523,72.29825000104029,37.0,0.0675249628145578,0.0,50,50,72,72,72,72,72,72,72,72,72
GET,/items/33,6,0,49,55.27806966832335,36.617666999518406,73.70670800446533,38.0,0.1012874442218367,0.0,54,54,74,74,74,74,74,74,74,74,74
GET,/items/34,4,0,37,45.439093499226146,35.27658300299663,65.1539579994278,38.0,0.0675249628145578,0.0,44,44,65,65,65,65,65,65,65,65,65
GET,/items/35,5,0,77,63.58489160047611,28.659041003265884,81.3474579990725,38.0,0.08440620351819725,0.0,77,78,78,81,81,81,81,81,81,81,81
GET,/items/36,5,0,47,46.81015819951426,28.469457996834535,68.67862500075717,38.0,0.08440620351819725,0.0,47,50,50,69,69,69,69,69,69,69,69
GET,/items/37,5,0,66,59.85919979866594,34.81137499329634,80.70370800123783,38.0,0.08440620351819725,0.0,66,80,80,81,81,81,81,81,81,81,81
GET,/items/38,6,0,57,50.145020498651625,24.756082995736506,66.1750409999513,38.0,0.1012874442218367,0.0,60,60,66,66,66,66,66,66,66,66,66
GET,/items/39,7,0,52,46.64956557098776,26.38045899948338,67.28016700071748,38.0,0.11816868492547615,0.0,52,53,55,55,67,67,67,67,67,67,67
GET,/items/4,6,0,45,46.85017366621954,25.343957997392863,87.54783399490407,36.0,0.1012874442218367,0.0,45,45,47,47,88,88,88,88,88,88,88
GET,/items/40,5,0,67,63.970066800538916,50.073749996954575,72.21337499504443,38.0,0.08440620351819725,0.0,67,69,69,72,72,72,72,72,72,72,72
GET,/items/41,13,0,59,58.31470815330529,27.665207999234553,82.48487500532065,38.0,0.21945612914731286,0.0,59,63,69,74,76,82,82,82,82,82,82
GET,/items/42,1,0,34.10116699524224,34.10116699524224,34.10116699524224,34.10116699524224,38.0,0.01688124070363945,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/items/43,3,0,59,62.76226400223095,46.53604200575501,82.30362500034971,38.0,0.05064372211091835,0.0,59,59,82,82,82,82,82,82,82,82,82
GET,/items/44,5,0,59,59.06408340233611,34.07004200562369,84.49729200219736,38.0,0.08440620351819725,0.0,59,68,68,84,84,84,84,84,84,84,84
GET,/items/45,1,0,70.6918340001721,70.6918340001721,70.6918340001721,70.6918340001721,38.0,0.01688124070363945,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/items/46,3,0,34,45.655874666408636,24.568957996962126,78.72833300643833,38.0,0.05064372211091835,0.0,34,34,79,79,79,79,79,79,79,79,79
GET,/items/47,3,0,68,56.44679200243748,32.39454200229375,69.32975000381703,38.0,0.05064372211091835,0.0,68,68,69,69,69,69,69,69,69,69,69
GET,/items/48,6,0,42,49.86916666651572,26.522916996327695,83.12400000431808,38.0,0.1012874442218367,0.0,56,56,59,59,83,83,83,83,83,83,83
GET,/items/49,2,0,46,52.23368750012014,45.676000001549255,58.791374998691026,38.0,0.0337624814072789,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/items/5,2,0,32.298999998602085,43.48093750013504,32.298999998602085,54.662875001668,36.0,0.0337624814072789,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/items/50,8,0,46,47.65943762504321,26.18712499679532,68.9951660024235,37.0,0.1350499256291156,0.0,48,58,66,66,69,69,69,69,69,69,69
GET,/items/6,4,0,24,53.97723950045474,22.92949999537086,85.25220800220268,36.0,0.0675249628145578,0.0,84,84,85,85,85,85,85,85,85,85,85
GET,/items/7,8,0,45,51.20335937499476,27.73062499909429,77.26516699767672,36.0,0.1350499256291156,0.0,50,56,76,76,77,77,77,77,77,77,77
GET,/items/8,4,0,41,54.83961450045172,40.32550000556512,78.50145799602615,36.0,0.0675249628145578,0.0,60,60,79,79,79,79,79,79,79,79,79
GET,/items/9,7,0,39,47.18268442853254,25.673791002191138,85.6927499989979,36.0,0.11816868492547615,0.0,39,57,59,59,86,86,86,86,86,86,86
,Aggregated,656,0,81,93.57341985049993,22.92949999537086,302.5672500007204,415.905487804878,11.07409390158748,0.0,81,110,120,130,150,190,240,260,300,300,300
