Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772364109,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772364110,2,,Aggregated,0.000000,0.000000,5,5,5,5,5,5,5,5,5,5,5,2,0,2,3.093645500484854,1.5013750016805716,4.685915999289136,60.0
1772364111,4,,Aggregated,0.000000,0.000000,4,5,5,5,5,5,5,5,5,5,5,5,0,4,3.654049799661152,1.5013750016805716,4.685915999289136,60.0
1772364112,6,,Aggregated,0.000000,0.000000,5,5,6,6,7,7,7,7,7,7,7,8,0,4,4.162041500421765,1.5013750016805716,6.663667001703288,58.75
1772364113,8,,Aggregated,2.000000,0.000000,5,6,7,7,310,850,850,850,850,850,850,11,0,5,108.48922709159193,1.5013750016805716,845.8650829998078,65.54545454545455
1772364114,10,,Aggregated,2.500000,0.000000,5,6,310,310,310,850,850,850,850,850,850,12,0,5,125.08105883413616,1.5013750016805716,845.8650829998078,69.33333333333333
1772364115,10,,Aggregated,2.666667,0.000000,6,310,310,850,1700,1800,1800,1800,1800,1800,1800,14,0,5,359.8232170718672,1.5013750016805716,1842.2414160013432,73.07142857142857
1772364116,10,,Aggregated,2.666667,0.000000,6,310,310,850,1700,1800,1800,1800,1800,1800,1800,14,0,5,359.8232170718672,1.5013750016805716,1842.2414160013432,73.07142857142857
1772364117,10,,Aggregated,2.400000,0.000000,310,1700,2100,2200,2600,2800,2800,2800,2800,2800,2800,20,0,310.0,880.290858200533,1.5013750016805716,2842.5327919976553,72.7
1772364118,10,,Aggregated,2.333333,0.000000,310,850,1800,2100,2300,2600,2800,2800,2800,2800,2800,21,0,310.0,838.5037578097711,1.5013750016805716,2842.5327919976553,72.0952380952381
1772364119,10,,Aggregated,2.000000,0.000000,310,850,1800,2100,2300,2600,2800,2800,2800,2800,2800,22,0,310.0,836.8514260457067,1.5013750016805716,2842.5327919976553,72.45454545454545
