Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items,2608,0,100.0,105.78543613295818,51.37312499573454,188.03870899864705,757.0,53.002278094831674,0.0,100,120,130,140,150,150,150,160,190,190,190
POST,/items,524,0,210.0,209.1281217349518,103.56937499454943,321.9227910012705,60.44083969465649,10.64923072150759,0.0,210,240,260,270,290,300,300,300,320,320,320
GET,/items/1,34,0,60,56.4594190890442,26.527458998316433,81.35929199488601,35.0,0.690980619334462,0.0,61,67,69,73,75,78,81,81,81,81,81
GET,/items/10,31,0,52,52.77255367775891,25.019874999998137,83.99512500182027,37.0,0.6300117411578918,0.0,52,57,65,67,80,82,84,84,84,84,84
GET,/items/11,30,0,50,51.18706239979171,23.90916599688353,77.20658299513161,38.0,0.6096887817657017,0.0,50,62,64,65,73,76,77,77,77,77,77
GET,/items/12,37,0,62,56.071818675067135,24.604666999948677,83.31766699848231,38.0,0.7519494975110322,0.0,62,70,73,75,79,82,83,83,83,83,83
GET,/items/13,26,0,45,52.955907000768306,27.20079199934844,106.37191600108054,38.0,0.5283969441969415,0.0,45,60,68,75,83,84,110,110,110,110,110
GET,/items/14,23,0,53,53.60417756500006,24.07099999982165,78.97324999794364,38.0,0.46742806602037135,0.0,53,62,65,69,74,75,79,79,79,79,79
GET,/items/15,25,0,59,57.73353332042461,30.28495800390374,84.21308299875818,38.0,0.5080739848047515,0.0,59,64,66,82,83,84,84,84,84,84,84
GET,/items/16,32,0,49,51.69621234335864,24.302332996740006,84.15700000477955,38.0,0.6503347005500819,0.0,49,58,70,73,81,82,84,84,84,84,84
GET,/items/17,39,0,58,57.0046004355297,25.363083004776854,82.95470799930627,38.0,0.7925954162954123,0.0,58,72,74,74,80,83,83,83,83,83,83
GET,/items/18,34,0,52,54.75147923511138,28.752625003107823,84.46608299709624,38.0,0.690980619334462,0.0,54,63,65,68,76,81,84,84,84,84,84
GET,/items/19,27,0,60,59.894284000350765,26.109874997928273,85.65029199962737,38.0,0.5487199035891316,0.0,60,68,69,72,78,78,86,86,86,86,86
GET,/items/2,33,0,55,54.11481187933752,23.930624993226957,85.92841700010467,35.0,0.670657659942272,0.0,55,69,74,77,82,85,86,86,86,86,86
GET,/items/20,34,0,56,56.63332229468163,22.601666001719423,81.85758300533053,38.0,0.690980619334462,0.0,59,64,67,72,80,81,82,82,82,82,82
GET,/items/21,38,0,54,55.70784434186,28.036792005877942,89.14312499837251,38.0,0.7722724569032222,0.0,55,62,65,69,82,83,89,89,89,89,89
GET,/items/22,44,0,49,53.49432190913913,24.201000000175554,103.70100000000093,38.0,0.8942102132563626,0.0,50,59,65,76,80,82,100,100,100,100,100
GET,/items/23,33,0,57,55.11573603011625,25.03791700291913,82.23970900144195,37.0,0.670657659942272,0.0,57,63,67,68,76,78,82,82,82,82,82
GET,/items/24,41,0,61,60.32277438977716,25.12883299641544,86.73020800051745,38.0,0.8332413350797925,0.0,61,77,78,79,83,86,87,87,87,87,87
GET,/items/25,37,0,56,56.76492127079384,27.420375001383945,85.12875000451459,37.0,0.7519494975110322,0.0,56,66,68,69,80,82,85,85,85,85,85
GET,/items/26,27,0,49,50.76906785069258,26.327499996114057,79.63637499778997,38.0,0.5487199035891316,0.0,49,57,72,72,74,78,80,80,80,80,80
GET,/items/27,32,0,51,53.23767203140051,23.50550000119256,85.1840000032098,38.0,0.6503347005500819,0.0,52,62,67,69,79,84,85,85,85,85,85
GET,/items/28,31,0,59,53.30201745152496,25.85637500305893,87.76041599776363,38.0,0.6300117411578918,0.0,59,64,69,69,75,83,88,88,88,88,88
GET,/items/29,22,0,54,57.988246227813015,33.08575000119163,86.36524999747053,38.0,0.4471051066281813,0.0,62,68,70,71,78,79,86,86,86,86,86
GET,/items/3,34,0,56,56.46416176451192,27.711333001207095,87.4937919943477,36.0,0.690980619334462,0.0,59,66,69,76,78,86,87,87,87,87,87
GET,/items/30,38,0,48,51.84195281675018,24.718957996810786,86.52266699937172,38.0,0.7722724569032222,0.0,48,66,72,74,81,85,87,87,87,87,87
GET,/items/31,40,0,48,51.59282912463823,22.150709002744406,88.53037499648053,38.0,0.8129183756876024,0.0,49,57,62,69,78,87,89,89,89,89,89
GET,/items/32,25,0,51,54.19047160045011,26.64208300120663,78.48762499634176,38.0,0.5080739848047515,0.0,51,67,72,74,76,76,78,78,78,78,78
GET,/items/33,24,0,66,60.055932291409896,26.500166997720953,82.965667003009,37.0,0.48775102541256143,0.0,66,71,75,76,79,80,83,83,83,83,83
GET,/items/34,31,0,55,52.90893409607722,25.138624994724523,85.62425000127405,38.0,0.6300117411578918,0.0,55,67,72,72,82,84,86,86,86,86,86
GET,/items/35,31,0,59,57.74367080730078,24.926375001086853,121.1025000011432,37.0,0.6300117411578918,0.0,59,64,69,74,80,81,120,120,120,120,120
GET,/items/36,35,0,64,61.782628600069856,26.211709002382122,85.12475000316044,38.0,0.7113035787266521,0.0,64,73,78,79,82,84,85,85,85,85,85
GET,/items/37,23,0,53,55.21584604265745,26.94316700217314,103.24470899649896,38.0,0.46742806602037135,0.0,53,66,70,73,75,78,100,100,100,100,100
GET,/items/38,30,0,49,49.74287776761533,24.351708001631778,79.39645900478354,38.0,0.6096887817657017,0.0,49,59,64,71,75,78,79,79,79,79,79
GET,/items/39,35,0,56,52.79848220026387,24.64804100600304,84.35529199778102,38.0,0.7113035787266521,0.0,56,61,65,66,76,79,84,84,84,84,84
GET,/items/4,24,0,43,45.477052000327,26.82199999981094,72.07158399978653,36.0,0.48775102541256143,0.0,45,50,54,57,63,64,72,72,72,72,72
