Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,953,0,4,6.991816704133491,0.4194169960101135,48.282917006872594,29.0,32.768256002000015,0.0,4,6,8,11,19,21,24,26,48,48,48
GET,/health,153,0,3,5.2879427903878895,0.7814580021658912,29.72883400070714,50.189542483660134,5.260800806197274,0.0,3,4,5,6,16,18,22,23,30,30,30
GET,/slow,276,0,7600.0,8308.422513453294,143.94858399464283,17341.507249999268,32.0,9.490072042551946,0.0,7700,11000,13000,14000,15000,16000,17000,17000,17000,17000,17000
POST,/users (POST),210,1,8200.0,8587.250712466493,2.592208002170082,17291.87533300137,27.81904761904762,7.220706988898219,0.03438431899475343,8300,11000,13000,14000,16000,17000,17000,17000,17000,17000,17000
,Aggregated,1592,1,7,2577.838894407686,0.4194169960101135,17341.507249999268,31.400753768844222,54.739835839647455,0.03438431899475343,7,21,2600,5400,11000,15000,16000,17000,17000,17000,17000
