Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,57,0,660.0,1001.8163545254012,1.4747919994988479,3815.749167006288,60.0,1.1638395841562936,0.0,660,1500,1700,1900,2700,3700,3800,3800,3800,3800,3800
GET,/health,10,0,74,693.054153999401,1.9834170016110875,2094.4590829967638,50.2,0.20418238318531468,0.0,600,930,1500,1600,2100,2100,2100,2100,2100,2100,2100
GET,/slow,30,0,1400.0,1792.2123681664136,615.7529590054764,3765.896375000011,80.0,0.612547149555944,0.0,1500,2100,2300,2700,3200,3600,3800,3800,3800,3800,3800
POST,/users (POST),19,0,1300.0,1366.6087149467785,306.7006249984843,2754.0328329996555,111.0,0.3879465280520979,0.0,1300,1900,2000,2000,2300,2800,2800,2800,2800,2800,2800
,Aggregated,116,0,1200.0,1239.3621584217506,1.4747919994988479,3815.749167006288,72.68103448275862,2.36851564494965,0.0,1200,1500,2000,2100,2700,3200,3800,3800,3800,3800,3800
