Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,16,0,4,440.98569012339794,2.2364579999702983,2018.7170839999453,60.0,1.2091976107393125,0.0,4,620,660,660,2000,2000,2000,2000,2000,2000,2000
GET,/health,4,0,1000.0,1174.7102497502055,60.1440829996136,2589.7742079978343,50.25,0.30229940268482813,0.0,1000,1000,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/slow,8,0,1500.0,1712.803369874564,941.5829999998095,3014.195458003087,80.0,0.6045988053696563,0.0,1600,1900,2100,2100,3000,3000,3000,3000,3000,3000,3000
POST,/users (POST),2,0,308.63691700506024,308.41937500372296,308.2018330023857,308.63691700506024,111.0,0.15114970134241407,0.0,310,310,310,310,310,310,310,310,310,310,310
,Aggregated,30,0,650.0,869.1292583326382,2.2364579999702983,3014.195458003087,67.43333333333334,2.267245520136211,0.0,660,1000,1500,1900,2100,2600,3000,3000,3000,3000,3000
