Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,21,0,7,249.3312322372471,1.4731669944012538,1131.3339159969473,60.0,1.7175195709214908,0.0,7,210,330,510,910,1100,1100,1100,1100,1100,1100
GET,/health,8,0,3,239.15283337373694,2.5243749987566844,1360.0693339976715,50.125,0.6542931698748536,0.0,81,150,310,310,1400,1400,1400,1400,1400,1400,1400
GET,/slow,4,0,680.0,943.337927250468,598.5364170046523,1393.404709000606,80.0,0.3271465849374268,0.0,1100,1100,1400,1400,1400,1400,1400,1400,1400,1400,1400
POST,/users (POST),4,0,310.0,780.4883122480533,306.1126660031732,1708.2969999974011,111.0,0.3271465849374268,0.0,800,800,1700,1700,1700,1700,1700,1700,1700,1700,1700
,Aggregated,37,0,180.0,379.58063518827487,1.4731669944012538,1708.2969999974011,65.54054054054055,3.0261059106711983,0.0,180,330,600,800,1100,1400,1700,1700,1700,1700,1700
