Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,79,0,56,533.4798739620711,1.7354589945171028,3854.781166999601,60.0,1.627256103800027,0.0,56,480,1100,1200,1700,2300,2400,3900,3900,3900,3900
GET,/health,11,0,150.0,410.03573481893085,2.2335000030579977,1781.6827080023359,50.0,0.22657996382025694,0.0,150,390,750,750,1100,1800,1800,1800,1800,1800,1800
GET,/slow,21,0,1400.0,1566.1271349059202,526.7717500028084,3854.3216670004767,80.0,0.4325617491113996,0.0,1400,1700,1900,1900,2600,3000,3900,3900,3900,3900,3900
POST,/users (POST),21,0,310.0,533.3577896190469,303.9409999983036,2423.7852500009467,111.0,0.4325617491113996,0.0,310,310,420,570,960,1300,2400,2400,2400,2400,2400
,Aggregated,132,0,310.0,687.4582313714861,1.7354589945171028,3854.781166999601,70.46212121212122,2.7189595658430834,0.0,310,860,1200,1300,1800,2300,3000,3900,3900,3900,3900
