Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772111191,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772111192,2,,Aggregated,0.000000,0.000000,560,560,560,560,560,560,560,560,560,560,560,2,0,554.5984170021256,555.4143334993569,554.5984170021256,556.2302499965881,70.0
1772111193,4,,Aggregated,0.000000,0.000000,550,550,560,560,560,560,560,560,560,560,560,4,0,310.0,357.2667812495638,5.345042001863476,556.2302499965881,77.75
1772111194,6,,Aggregated,0.000000,0.000000,550,550,560,560,560,560,560,560,560,560,560,4,0,310.0,357.2667812495638,5.345042001863476,556.2302499965881,77.75
1772111195,8,,Aggregated,1.500000,0.000000,550,560,560,1000,1000,1000,1000,1000,1000,1000,1000,5,0,550.0,491.739391599549,5.345042001863476,1029.6298329994897,78.2
1772111196,10,,Aggregated,1.333333,0.000000,1100,1400,1800,1800,2100,2100,2100,2100,2100,2100,2100,10,0,1000.0,1064.1442373991595,5.345042001863476,2143.8547910001944,78.2
1772111197,10,,Aggregated,1.333333,0.000000,1100,1400,1800,1800,2100,2100,2100,2100,2100,2100,2100,10,0,1000.0,1064.1442373991595,5.345042001863476,2143.8547910001944,78.2
1772111199,10,,Aggregated,1.000000,0.000000,1300,1800,2100,2100,2500,3200,3200,3200,3200,3200,3200,16,0,1100.0,1308.6694478743084,4.255208994436543,3151.197332997981,73.9375
1772111200,10,,Aggregated,1.666667,0.000000,1000,1400,1800,2100,2500,3200,3200,3200,3200,3200,3200,19,0,1000.0,1168.7752083150706,4.255208994436543,3151.197332997981,72.3157894736842
1772111201,10,,Aggregated,1.428571,0.000000,950,1300,1800,1800,2500,2500,3200,3200,3200,3200,3200,22,0,560.0,1036.897085226387,4.255208994436543,3151.197332997981,71.54545454545455
1772111202,10,,Aggregated,2.000000,0.000000,550,1100,1400,1800,2500,2500,3200,3200,3200,3200,3200,25,0,550.0,925.2068433191744,4.030750002129935,3151.197332997981,72.2
