Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,206,1,3,3.809662591769118,0.851249998959247,36.65124999679392,28.859223300970875,7.079671578911488,0.03436733776170625,3,4,4,4,5,7,13,15,37,37,37
GET,/health,30,0,4,5.551729199942201,1.9219579990021884,37.08595799980685,50.03333333333333,1.0310201328511877,0.0,4,4,5,5,9,14,37,37,37,37,37
GET,/slow,96,0,280.0,288.1003003336294,102.73870899982285,503.18574999982957,32.0,3.2992644251238,0.0,290,360,390,400,450,490,500,500,500,500,500
POST,/users (POST),82,0,310.0,309.55218345133756,302.30970900447574,416.6778750004596,27.902439024390244,2.818121696459913,0.0,310,310,310,310,310,330,400,420,420,420,420
,Aggregated,414,1,5,130.41606339357682,0.851249998959247,503.18574999982957,30.932367149758456,14.228077833346388,0.03436733776170625,5,230,300,310,340,400,450,490,500,500,500
