Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fast,21,0,270.0,445.9687104289991,1.537249998364132,1577.6916250033537,60.0,1.5121947467599892,0.0,270,510,570,990,1300,1500,1600,1600,1600,1600,1600
GET,/slow,9,0,830.0,903.7922359986826,614.6636659977958,1533.1063329940662,80.0,0.6480834628971383,0.0,830,990,990,1100,1500,1500,1500,1500,1500,1500,1500
POST,/users (POST),5,0,400.0,416.5308500014362,305.890833005833,603.1385000023874,111.0,0.3600463682761879,0.0,400,470,470,600,600,600,600,600,600,600,600
,Aggregated,35,0,510.0,559.4893512286944,1.537249998364132,1577.6916250033537,72.42857142857143,2.5203245779333154,0.0,510,650,990,990,1300,1500,1600,1600,1600,1600,1600
