Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items,5158,0,100.0,104.17267731389742,50.46520899486495,188.79258399829268,758.0,177.14529608445244,0.0,100,120,130,130,140,150,150,160,170,190,190
POST,/items,1007,0,200.0,199.44543153837122,100.9150000027148,355.6470420007827,60.56603773584906,34.58420185285839,0.0,200,230,250,260,280,290,300,300,330,360,360
GET,/items/1,54,0,47,49.80450550000468,21.68508299655514,85.59150000655791,36.0,1.8545649454362991,0.0,48,58,63,66,78,83,83,86,86,86,86
GET,/items/10,47,0,50,52.815206616868,27.607916003034916,82.90316700004041,38.0,1.6141583784352975,0.0,50,61,67,73,78,81,83,83,83,83,83
GET,/items/11,67,0,54,54.48430908899042,23.82812499854481,88.80104199488414,37.0,2.301034284152445,0.0,54,64,71,72,77,80,82,89,89,89,89
GET,/items/12,61,0,56,53.19258263923865,22.72912500484381,84.50745899608592,38.0,2.0949715124373007,0.0,56,62,67,74,79,80,84,85,85,85,85
GET,/items/13,45,0,53,53.01028704464746,25.15675000176998,78.45449999877019,38.0,1.5454707878635827,0.0,53,58,62,66,71,74,78,78,78,78,78
GET,/items/14,64,0,48,51.4214257347021,23.56266599963419,84.46116700361017,38.0,2.198002898294873,0.0,48,56,64,70,76,79,81,84,84,84,84
GET,/items/15,62,0,54,55.75677487168803,26.925958001811523,96.64495800097939,38.0,2.129315307723158,0.0,56,66,72,76,82,85,93,97,97,97,97
GET,/items/16,66,0,52,55.64321150020326,21.173332999751437,97.02241700142622,38.0,2.2666904888665877,0.0,57,67,73,74,80,85,93,97,97,97,97
GET,/items/17,53,0,57,56.18423262291439,22.951124999963213,84.76612500089686,38.0,1.8202211501504417,0.0,57,67,71,72,75,82,82,85,85,85,85
GET,/items/18,61,0,62,57.99230257348352,23.04533300048206,85.5329999976675,38.0,2.0949715124373007,0.0,62,71,73,75,78,80,83,86,86,86,86
GET,/items/19,55,0,61,58.80915832729608,23.575791004986968,110.92374999861931,38.0,1.8889087407221565,0.0,61,70,74,78,82,88,90,110,110,110,110
GET,/items/2,60,0,59,58.0716561665516,22.3391659965273,84.0417079962208,36.0,2.0606277171514433,0.0,60,66,73,73,80,82,82,84,84,84,84
GET,/items/20,60,0,50,53.72622501672595,25.87387499806937,85.85220799432136,38.0,2.0606277171514433,0.0,52,63,68,77,80,82,84,86,86,86,86
GET,/items/21,74,0,51,52.05263451362781,23.723124999378342,82.23816700046882,38.0,2.541440851153447,0.0,51,60,64,65,77,79,80,82,82,82,82
GET,/items/22,68,0,51,53.77266847084256,23.98529199854238,88.99733299767831,38.0,2.3353780794383026,0.0,51,62,72,76,79,82,88,89,89,89,89
GET,/items/23,66,0,56,54.261138894203626,21.910249997745268,83.44587500323541,38.0,2.2666904888665877,0.0,56,64,68,72,78,80,81,83,83,83,83
GET,/items/24,51,0,55,53.69182192168641,23.469332998502068,89.63479199883295,38.0,1.751533559578727,0.0,55,62,66,70,74,79,81,90,90,90,90
GET,/items/25,64,0,52,54.78320967210948,24.250083006336354,90.6369580043247,38.0,2.198002898294873,0.0,54,67,70,71,74,78,81,91,91,91,91
GET,/items/26,61,0,47,51.36288244269605,22.42641600605566,84.25854099914432,37.0,2.0949715124373007,0.0,47,61,68,70,74,77,83,84,84,84,84
GET,/items/27,55,0,50,51.217460545277305,24.499292005202733,83.0212910004775,38.0,1.8889087407221565,0.0,50,58,66,71,74,80,82,83,83,83,83
GET,/items/28,74,0,52,51.65541894589173,23.048875002132263,85.23758299998008,38.0,2.541440851153447,0.0,52,59,66,70,76,80,82,85,85,85,85
GET,/items/29,61,0,50,54.77400882001184,22.7542499997071,88.63933400425594,37.0,2.0949715124373007,0.0,50,67,72,75,82,83,87,89,89,89,89
GET,/items/3,73,0,49,51.02965468471018,23.142707999795675,86.96333300031256,36.0,2.5070970558675896,0.0,49,59,69,71,78,81,83,87,87,87,87
GET,/items/30,67,0,53,54.08234576088265,22.272707996307872,109.36070900061168,38.0,2.301034284152445,0.0,53,61,66,73,78,80,85,110,110,110,110
GET,/items/31,49,0,58,55.87585548999748,25.819042006332893,80.80304099712521,38.0,1.682845969007012,0.0,58,65,70,72,76,79,81,81,81,81,81
GET,/items/32,77,0,51,53.26877379269859,25.04649999900721,91.83908300474286,38.0,2.644472237011019,0.0,51,59,64,69,75,79,86,92,92,92,92
GET,/items/33,73,0,55,54.01227852028208,21.9978329987498,90.4537909955252,38.0,2.5070970558675896,0.0,55,65,66,69,76,80,85,90,90,90,90
GET,/items/34,66,0,55,54.73210415154674,23.587415998918004,83.09754099900601,38.0,2.2666904888665877,0.0,55,64,69,71,79,81,82,83,83,83,83
GET,/items/35,61,0,59,54.36171518021347,23.519875001511537,87.895832999493,38.0,2.0949715124373007,0.0,59,65,71,74,77,80,85,88,88,88,88
GET,/items/36,42,0,46,51.26096328604035,22.505166998598725,90.62120800081175,37.0,1.4424394020060105,0.0,50,68,74,76,79,82,91,91,91,91,91
GET,/items/37,62,0,56,54.88117812884382,23.178208000899758,83.52575000026263,37.0,2.129315307723158,0.0,56,64,69,72,79,81,81,84,84,84,84
GET,/items/38,66,0,56,55.892815757198896,24.123750001308508,89.97108299809042,38.0,2.2666904888665877,0.0,58,66,70,72,77,79,89,90,90,90,90
GET,/items/39,74,0,50,52.804492715851566,21.880167005292606,104.21929100266425,38.0,2.541440851153447,0.0,51,63,69,73,79,86,89,100,100,100,100
GET,/items/4,85,0,47,50.561077976839016,22.40200000233017,95.33916699729161,36.0,2.9192225992978784,0.0,47,61,65,71,78,80,92,95,95,95,95
GET,/items/40,71,0,59,57.38351466240768,24.0170830002171,112.85433299781289,38.0,2.4384094652958748,0.0,59,69,74,77,82,83,94,110,110,110,110
GET,/items/41,74,0,50,50.17447414826854,20.158125000307336,82.53329199942527,38.0,2.541440851153447,0.0,51,59,64,68,77,80,81,83,83,83,83
GET,/items/42,59,0,59,57.17278811851244,29.239874995255377,82.6115000018035,38.0,2.026283921865586,0.0,59,68,71,74,79,81,82,83,83,83,83
GET,/items/43,65,0,57,55.50625387718006,25.56854199792724,85.97783299774164,37.0,2.2323466935807303,0.0,57,69,71,73,78,79,85,86,86,86,86
GET,/items/44,60,0,48,50.661456866995046,22.699916000419762,95.44087500398746,38.0,2.0606277171514433,0.0,48,59,65,67,69,80,84,95,95,95,95
GET,/items/45,63,0,60,58.668740110916254,24.121791997458786,92.1862079994753,38.0,2.1636591030090155,0.0,60,68,71,74,81,86,89,92,92,92,92
GET,/items/46,59,0,61,58.084531101793786,25.008666998473927,84.51945900014834,38.0,2.026283921865586,0.0,61,69,73,74,78,82,84,85,85,85,85
GET,/items/47,49,0,63,60.256968509840625,23.7911250005709,96.94474999560043,37.0,1.682845969007012,0.0,63,68,74,76,79,81,97,97,97,97,97
GET,/items/48,67,0,47,51.64060449299799,23.835542000597343,96.6340829982073,37.0,2.301034284152445,0.0,47,59,65,69,81,84,90,97,97,97,97
GET,/items/49,49,0,57,55.3564471835615,23.600041997269727,82.56716600590153,37.0,1.682845969007012,0.0,57,70,73,74,78,80,83,83,83,83,83
GET,/items/5,63,0,54,53.93131947632702,22.918542003026232,85.77112499915529,35.0,2.1636591030090155,0.0,54,67,69,71,78,81,82,86,86,86,86
GET,/items/50,70,0,58,55.98517971416835,24.712833001103718,92.96620799432276,38.0,2.4040656700100174,0.0,58,69,74,76,80,85,86,93,93,93,93
GET,/items/6,75,0,58,56.80386386685617,21.781041999929585,95.53083300124854,35.0,2.5757846464393044,0.0,58,70,73,76,80,81,83,96,96,96,96
GET,/items/7,71,0,42,46.57399874655235,20.572375004121568,82.12391699635191,36.0,2.4384094652958748,0.0,42,53,63,68,76,80,82,82,82,82,82
GET,/items/8,69,0,52,54.11257666676555,21.56062499852851,107.94287500175415,36.0,2.36972187472416,0.0,52,66,72,72,78,82,96,110,110,110,110
GET,/items/9,59,0,54,53.210969660524874,22.17904199642362,88.02029200160177,36.0,2.026283921865586,0.0,54,61,65,67,77,83,83,88,88,88,88
,Aggregated,9312,0,85,97.53702529513828,20.158125000307336,355.6470420007827,439.05294243986253,319.80942170190406,0.0,85,110,130,130,150,200,260,280,300,360,360
