Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772364317,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772364318,2,,Aggregated,0.000000,0.000000,840,840,840,840,840,840,840,840,840,840,840,2,0,311.48695799493,575.3987709977082,311.48695799493,839.3105840004864,95.5
1772364319,4,,Aggregated,0.000000,0.000000,310,310,840,840,840,840,840,840,840,840,840,3,0,310.0,385.4829446669707,5.651292005495634,839.3105840004864,83.66666666666667
1772364320,6,,Aggregated,0.000000,0.000000,840,840,1200,1200,1200,1200,1200,1200,1200,1200,1200,4,0,310.0,600.7905417500297,5.651292005495634,1246.7133329992066,82.75
1772364321,8,,Aggregated,1.500000,0.000000,840,1200,1200,1200,1600,1600,1600,1600,1600,1600,1600,10,0,310.0,668.2362084000488,2.1473329979926348,1636.1465840018354,70.1
1772364322,10,,Aggregated,1.333333,0.000000,590,1200,1200,1200,1200,1600,1600,1600,1600,1600,1600,11,0,590.0,661.305784182332,2.1473329979926348,1636.1465840018354,71.0
1772364323,10,,Aggregated,1.333333,0.000000,840,1200,1200,1200,1300,1600,1600,1600,1600,1600,1600,13,0,840.0,728.0026955385648,2.1473329979926348,1636.1465840018354,70.84615384615384
1772364324,10,,Aggregated,2.250000,0.000000,1200,1200,1300,1300,1500,1600,1600,1600,1600,1600,1600,16,0,840.0,836.5175676876788,2.1473329979926348,1636.1465840018354,70.0625
1772364325,10,,Aggregated,2.166667,0.000000,1200,1200,1300,1500,1700,2000,2000,2000,2000,2000,2000,18,0,1200.0,944.3271944445668,2.1473329979926348,1954.2918750012177,71.16666666666667
1772364326,10,,Aggregated,2.285714,0.000000,1200,1200,1300,1500,1700,1700,2000,2000,2000,2000,2000,24,0,1100.0,964.0905104164025,2.1473329979926348,1954.2918750012177,73.04166666666667
1772364327,10,,Aggregated,2.000000,0.000000,1100,1200,1300,1500,1700,1700,2000,2000,2000,2000,2000,25,0,1100.0,968.5108416396542,2.1473329979926348,1954.2918750012177,73.32
1772364328,10,,Aggregated,2.000000,0.000000,1100,1200,1300,1500,1700,1700,2000,2000,2000,2000,2000,27,0,1100.0,987.8449551850078,2.1473329979926348,1954.2918750012177,73.07407407407408
1772364329,10,,Aggregated,2.400000,0.000000,1200,1300,1500,1500,1700,1700,2000,2000,2000,2000,2000,28,0,1100.0,1006.3805058925936,2.1473329979926348,1954.2918750012177,73.32142857142857
1772364330,10,,Aggregated,2.400000,0.000000,1200,1300,1500,1600,1700,1700,2000,2000,2000,2000,2000,30,0,1200.0,1050.2165180330242,2.1473329979926348,1954.2918750012177,73.1
1772364331,10,,Aggregated,2.400000,0.000000,1200,1300,1500,1600,1700,1700,2000,2000,2000,2000,2000,30,0,1200.0,1050.2165180330242,2.1473329979926348,1954.2918750012177,73.1
1772364332,10,,Aggregated,2.400000,0.000000,1200,1500,1700,1700,2000,2500,2700,2700,2700,2700,2700,38,0,1200.0,1206.3568979999552,2.1473329979926348,2664.5150000040303,73.3157894736842
1772364333,10,,Aggregated,2.100000,0.000000,1200,1500,1700,1700,2000,2500,2700,2700,2700,2700,2700,39,0,1200.0,1175.5158183588767,2.1473329979926348,2664.5150000040303,72.97435897435898
1772364334,10,,Aggregated,2.000000,0.000000,1200,1500,1700,1700,2000,2500,2700,2700,2700,2700,2700,40,0,1200.0,1162.9134843498832,2.1473329979926348,2664.5150000040303,73.15
1772364335,10,,Aggregated,2.000000,0.000000,1200,1500,1600,1700,1900,2200,2700,2700,2700,2700,2700,42,0,1200.0,1152.591041642847,2.1473329979926348,2664.5150000040303,73.73809523809524
1772364336,10,,Aggregated,2.500000,0.000000,1200,1500,1600,1700,1900,2200,2700,2700,2700,2700,2700,43,0,1200.0,1143.1360697442447,2.1473329979926348,2664.5150000040303,73.88372093023256
1772364337,10,,Aggregated,2.500000,0.000000,1200,1500,1600,1700,1900,2200,2700,2700,2700,2700,2700,43,0,1200.0,1143.1360697442447,2.1473329979926348,2664.5150000040303,73.88372093023256
1772364338,10,,Aggregated,2.500000,0.000000,1200,1600,1700,1800,2500,2700,3100,3100,3100,3100,3100,47,1,1200.0,1269.2425921704853,2.1473329979926348,3099.4292910036165,72.27659574468085
1772364339,10,,Aggregated,2.500000,0.000000,1200,1600,1700,1800,2500,2700,3100,3100,3100,3100,3100,47,1,1200.0,1269.2425921704853,2.1473329979926348,3099.4292910036165,72.27659574468085
1772364340,10,,Aggregated,1.800000,0.000000,1300,1700,1900,2300,3000,3200,3900,4300,4300,4300,4300,53,1,1300.0,1500.4112641324336,2.1473329979926348,4341.846167000767,73.56603773584905
1772364341,10,,Aggregated,2.000000,0.100000,1300,1700,1900,2200,3000,3200,3900,4300,4300,4300,4300,56,1,1200.0,1447.8161130717647,2.1473329979926348,4341.846167000767,73.19642857142857
1772364342,10,,Aggregated,2.000000,0.100000,1300,1700,1900,2200,3000,3200,3900,4300,4300,4300,4300,56,1,1200.0,1447.8161130717647,2.1473329979926348,4341.846167000767,73.19642857142857
1772364343,10,,Aggregated,2.300000,0.100000,1200,1700,1900,2200,3000,3200,3900,4300,4300,4300,4300,57,1,1200.0,1436.6390847722519,2.1473329979926348,4341.846167000767,73.3157894736842
1772364344,10,,Aggregated,2.300000,0.100000,1200,1700,1900,2200,3000,3200,3900,4300,4300,4300,4300,57,1,1200.0,1436.6390847722519,2.1473329979926348,4341.846167000767,73.3157894736842
1772364345,10,,Aggregated,1.800000,0.100000,1300,1800,2100,2300,2900,3100,3900,4300,4300,4300,4300,61,1,1300.0,1493.92871581997,2.1473329979926348,4341.846167000767,73.60655737704919
1772364346,10,,Aggregated,1.800000,0.100000,1300,1800,2100,2300,2900,3100,3900,4300,4300,4300,4300,61,1,1300.0,1493.92871581997,2.1473329979926348,4341.846167000767,73.60655737704919
1772364347,10,,Aggregated,1.500000,0.100000,1500,2000,2200,2500,3000,3600,4300,4500,4500,4500,4500,67,1,1500.0,1618.494348880794,2.1473329979926348,4474.501167002018,72.98507462686567
1772364348,10,,Aggregated,1.500000,0.100000,1500,2000,2200,2500,3000,3600,4300,4500,4500,4500,4500,67,1,1500.0,1618.494348880794,2.1473329979926348,4474.501167002018,72.98507462686567
1772364349,10,,Aggregated,1.800000,0.100000,1500,1900,2200,2500,3000,3600,4300,4500,4500,4500,4500,69,1,1500.0,1599.113577898791,2.1473329979926348,4474.501167002018,73.6376811594203
1772364350,10,,Aggregated,2.400000,0.100000,1300,1900,2200,2300,3000,3600,4300,4500,4500,4500,4500,71,1,1300.0,1590.5982646762195,2.1473329979926348,4474.501167002018,74.25352112676056
1772364351,10,,Aggregated,2.400000,0.100000,1300,1800,2200,2300,3000,3600,4300,4500,4500,4500,4500,76,2,1300.0,1558.6769057237307,2.1473329979926348,4474.501167002018,72.78947368421052
1772364352,10,,Aggregated,2.200000,0.000000,1300,1800,2100,2300,3000,3600,4300,4500,4500,4500,4500,77,2,1300.0,1547.7632635455222,2.1473329979926348,4474.501167002018,72.88311688311688
1772364353,10,,Aggregated,2.300000,0.100000,1300,1800,2100,2300,3000,3600,4300,4500,4500,4500,4500,80,2,1300.0,1501.982740112635,2.1473329979926348,4474.501167002018,73.0375
1772364354,10,,Aggregated,2.000000,0.100000,1300,1800,2100,2200,3000,3200,4300,4500,4500,4500,4500,81,2,1300.0,1501.6345097778587,2.1473329979926348,4474.501167002018,73.12345679012346
1772364355,10,,Aggregated,2.000000,0.100000,1300,1800,2100,2200,3000,3200,4300,4500,4500,4500,4500,81,2,1300.0,1501.6345097778587,2.1473329979926348,4474.501167002018,73.12345679012346
1772364356,10,,Aggregated,2.000000,0.100000,1300,1800,2100,2200,3000,3200,4300,4500,4500,4500,4500,81,2,1300.0,1501.6345097778587,2.1473329979926348,4474.501167002018,73.12345679012346
1772364357,10,,Aggregated,2.400000,0.100000,1400,1900,2200,2600,3000,3600,4300,4500,4500,4500,4500,90,2,1300.0,1590.755504166979,2.1473329979926348,4474.501167002018,72.71111111111111
1772364358,10,,Aggregated,2.000000,0.100000,1300,1900,2200,2500,3000,3600,4300,4500,4500,4500,4500,92,2,1300.0,1556.2389012612466,1.81291600165423,4474.501167002018,72.43478260869566
1772364359,10,,Aggregated,2.000000,0.100000,1300,1800,2200,2300,3000,3600,4300,4500,4500,4500,4500,98,2,1300.0,1461.120781030851,1.6770419970271178,4474.501167002018,71.6734693877551
1772364360,10,,Aggregated,2.300000,0.100000,1300,1800,2200,2300,3000,3600,4300,4500,4500,4500,4500,99,2,1300.0,1446.383318182074,1.6770419970271178,4474.501167002018,71.45454545454545
1772364361,10,,Aggregated,2.400000,0.100000,1300,1800,2200,2300,3000,3600,4300,4500,4500,4500,4500,100,2,1200.0,1431.96902375028,1.6770419970271178,4474.501167002018,71.34
1772364362,10,,Aggregated,2.400000,0.100000,1300,1800,2200,2300,3000,3600,4300,4500,4500,4500,4500,100,2,1200.0,1431.96902375028,1.6770419970271178,4474.501167002018,71.34
